Arrival_or_Departure,Date_End_of_Quater,Year_Text,No_of_Visitors_to_Kenya,Visitors_by_Purpose,Period_Quater,Results_Status,OBJECTID
Arrivals,03/31/2006 12:00:00 AM,2006,2756000,Visitors on Holiday,Q1,Actual,56
Arrivals,06/30/2006 12:00:00 AM,2006,219200,Visitors on Holiday,Q2,Actual,57
Arrivals,10/06/2000 12:00:00 AM,2006,289200,Visitors on Holiday,Q3,Actual,58
Arrivals,12/31/2006 12:00:00 AM,2006,303200,Visitors on Holiday,Q4,Actual,59
Arrivals,03/31/2007 12:00:00 AM,2007,298400,Visitors on Holiday,Q1,Actual,60
Arrivals,06/30/2007 12:00:00 AM,2007,263000,Visitors on Holiday,Q2,Actual,61
Arrivals,10/07/2000 12:00:00 AM,2007,380600,Visitors on Holiday,Q3,Actual,62
Arrivals,12/31/2007 12:00:00 AM,2007,336500,Visitors on Holiday,Q4,Actual,63
Arrivals,03/31/2008 12:00:00 AM,2008,201600,Visitors on Holiday,Q1,Actual,64
Arrivals,06/30/2008 12:00:00 AM,2008,205600,Visitors on Holiday,Q2,Actual,65
Arrivals,10/08/2000 12:00:00 AM,2008,243700,Visitors on Holiday,Q3,Actual,66
Arrivals,12/31/2008 12:00:00 AM,2008,285200,Visitors on Holiday,Q4,Actual,67
Arrivals,03/31/2009 12:00:00 AM,2009,258700,Visitors on Holiday,Q1,Actual,68
Arrivals,06/30/2009 12:00:00 AM,2009,217500,Visitors on Holiday,Q2,Actual,69
Arrivals,10/09/2000 12:00:00 AM,2009,282000,Visitors on Holiday,Q3,Actual,70
Arrivals,12/31/2009 12:00:00 AM,2009,306700,Visitors on Holiday,Q4,Actual,71
Arrivals,03/31/2010 12:00:00 AM,2010,261200,Visitors on Holiday,Q1,Actual,72
Arrivals,06/30/2010 12:00:00 AM,2010,228700,Visitors on Holiday,Q2,Actual,73
Arrivals,09/30/2010 12:00:00 AM,2010,302600,Visitors on Holiday,Q3,Actual,74
Arrivals,12/31/2010 12:00:00 AM,2010,308200,Visitors on Holiday,Q4,Actual,75
Arrivals,03/31/2011 12:00:00 AM,2011,302800,Visitors on Holiday,Q1,Actual,76
Arrivals,06/30/2011 12:00:00 AM,2011,235500,Visitors on Holiday,Q2,Actual,77
Arrivals,09/30/2011 12:00:00 AM,2011,411900,Visitors on Holiday,Q3,Actual,78
Arrivals,12/31/2011 12:00:00 AM,2011,369700,Visitors on Holiday,Q4,Actual,79
Arrivals,03/31/2012 12:00:00 AM,2012,317000,Visitors on Holiday,Q1,Actual,80
Arrivals,06/30/2012 12:00:00 AM,2012,240100,Visitors on Holiday,Q2,Actual,81
Arrivals,09/30/2012 12:00:00 AM,2012,323600,Visitors on Holiday,Q3,Actual,82
Arrivals,12/31/2012 12:00:00 AM,2012,338500,Visitors on Holiday,Q4,Actual,83
Arrivals,03/31/2013 12:00:00 AM,2013,257600,Visitors on Holiday,Q1,Actual,84
Arrivals,06/30/2013 12:00:00 AM,2013,222000,Visitors on Holiday,Q2,Actual,85
Arrivals,09/30/2013 12:00:00 AM,2013,284200,Visitors on Holiday,Q3,Actual,86
Arrivals,12/31/2013 12:00:00 AM,2013,340100,Visitors on Holiday,Q4,Actual,87
